Peso,t2d,cardio
non evidente,non evidente,non evidente
non evidente,non evidente,lieve
non evidente,non evidente,medio
non evidente,non evidente,alto
non evidente,lieve,non evidente
non evidente,lieve,lieve
non evidente,lieve,medio
non evidente,lieve,alto
non evidente,medio,non evidente
non evidente,medio,lieve
non evidente,medio,medio
non evidente,medio,alto
non evidente,alto,non evidente
non evidente,alto,lieve
non evidente,alto,medio
non evidente,alto,alto
lieve,non evidente,non evidente
lieve,non evidente,lieve
lieve,non evidente,medio
lieve,non evidente,alto
lieve,lieve,non evidente
lieve,lieve,lieve
lieve,lieve,medio
lieve,lieve,alto
lieve,medio,non evidente
lieve,medio,lieve
lieve,medio,medio
lieve,medio,alto
lieve,alto,non evidente
lieve,alto,lieve
lieve,alto,medio
lieve,alto,alto
medio,non evidente,non evidente
medio,non evidente,lieve
medio,non evidente,medio
medio,non evidente,alto
medio,lieve,non evidente
medio,lieve,lieve
medio,lieve,medio
medio,lieve,alto
medio,medio,non evidente
medio,medio,lieve
medio,medio,medio
medio,medio,alto
medio,alto,non evidente
medio,alto,lieve
medio,alto,medio
medio,alto,alto
alto,non evidente,non evidente
alto,non evidente,lieve
alto,non evidente,medio
alto,non evidente,alto
alto,lieve,non evidente
alto,lieve,lieve
alto,lieve,medio
alto,lieve,alto
alto,medio,non evidente
alto,medio,lieve
alto,medio,medio
alto,medio,alto
alto,alto,non evidente
alto,alto,lieve
alto,alto,medio
alto,alto,alto
